DateCompletedUs,DateCompletedThem,Puzzle Date,Puzzle,Us,Them,NumPeopleWeHad,NumPeopleTheyHad,OurLink,TheirLink
11/5/2024,NA,11/5/2024,TheCrossword,0:41:14,NA,2,NA,https://downforacross.com/beta/game/6370882-flact,NA
11/5/2024,11/5/2024,11/5/2024,LATimes,0:07:48,0:04:24,2,2,https://downforacross.com/beta/game/6371742-namp,https://downforacross.com/beta/game/6369266-bosp
11/5/2024,11/5/2024,11/5/2024,USAToday,0:06:45,0:03:44,2,2,https://downforacross.com/beta/game/6371856-blit,https://downforacross.com/beta/game/6369913-strod
11/6/2024,11/6/2024,11/6/2024,NYT,0:16:51,0:14:19,2,1,https://downforacross.com/beta/game/6379577-threck,https://downforacross.com/beta/game/6376388-masp
11/6/2024,11/6/2024,11/6/2024,LATimes,0:08:40,0:12:08,2,1,https://downforacross.com/beta/game/6379685-nund,https://downforacross.com/beta/game/6376503-smub
11/9/2024,11/8/2024,11/8/2024,NYT,0:47:27,0:33:50,2,2,https://downforacross.com/beta/game/6397843-zoft,https://downforacross.com/beta/game/6391966-jeft
11/12/2024,11/10/2024,11/10/2024,NYT,1:18:14,1:02:53,2,1,https://downforacross.com/beta/game/6419664-fesp,https://downforacross.com/beta/game/6400336-sask
11/17/2024,11/17/2024,11/17/2024,NYT,0:55:48,0:25:36,2,1,https://downforacross.com/beta/game/6450876-jift,https://downforacross.com/beta/game/6447899-jund
11/24/2024,11/24/2024,11/24/2024,NYT,1:03:34,0:57:45,2,2,https://downforacross.com/beta/game/6497310-spluff,https://downforacross.com/beta/game/6497214-glap
12/1/2024,NA,8/19/2001,NYT,1:03:32,NA,5,NA,https://downforacross.com/beta/game/6539789-jisk,NA
12/22/2024,NA,12/22/2024,NYT,0:31:05,NA,2,NA,https://downforacross.com/beta/game/6676557-prash,NA
12/22/2024,NA,12/22/2024,LATimes,0:46:45,NA,2,NA,https://downforacross.com/beta/game/6676731-threck,NA
12/29/2024,12/29/2024,12/29/2024,NYT,0:35:49,0:15:39,2,2,https://downforacross.com/beta/game/6717636-kemp,https://downforacross.com/beta/game/6713996-ust
12/30/2024,12/30/2024,12/30/2024,NYT,0:05:04,0:04:02,2,2,https://downforacross.com/beta/game/6724487-glemp,https://downforacross.com/beta/game/6723036-prash
12/30/2024,12/30/2024,12/30/2024,LATimes,0:05:45,0:02:27,2,2,https://downforacross.com/beta/game/6724524-jeft,https://downforacross.com/beta/game/6723059-plusk
12/30/2024,12/31/2024,12/30/2024,USAToday,0:03:54,0:05:20,2,1,https://downforacross.com/beta/game/6724561-kemp,https://downforacross.com/beta/game/6725583-glemp
1/5/2025,1/5/2025,1/5/2025,NYT,0:43:55,0:30:12,2,2,https://downforacross.com/beta/game/6760507-treb,https://downforacross.com/beta/game/6758557-prash
1/11/2025,1/11/2025,1/11/2025,NYT,0:49:52,0:32:29,2,1,https://downforacross.com/beta/game/6799803-glaff,https://downforacross.com/beta/game/6799730-skob
1/11/2025,1/11/2025,1/11/2025,LATimes,0:37:36,0:31:13,2,2,,
